# Vir: http://www.lpp.si/sites/default/files/lpp_si/stran/datoteke/spisek_postajalisc_po_abecedi_marec_2011;".pdf"
# Regex: ([0-9]+)\n([0-9]+)\n([\w+\.\ ščžŠČŽ\(\)]+)
# → - Smer vožnje proti centru
# Stara številka;Nova številka;Ime postajališča
365;103112;7;". septembra"
364;103111;7;". septembra →"
492;600022;"Ajdovščina →"
105;503032;"Akademija"
104;503031;"Akademija →"
133;502013;"Ambrožev trg →"
134;502014;"Ambrožev trg →"
165;103032;"AMZS"
164;103031;"AMZS →"
185;804172;"Andreja Bitenca"
184;804171;"Andreja Bitenca →"
276;303062;"Archinetova"
275;303061;"Archinetova →"
171;101052;"Astra"
170;101051;"Astra →"
30;602052;"Aškerčeva"
31;602051;"Aškerčeva →"
15;803022;"Avtomontaža"
14;803021;"Avtomontaža →"
485;604031;"Avtosejem →"
420;604021;"Barje →"
59;600011;"Bavarski dvor (Korabar)"
58;600012;"Bavarski dvor (Kozolec)"
448;204142;"Belinka"
447;204141;"Belinka →"
453;204171;"Beričevo →"
590;405052;"Besnica ambulanta"
589;405051;"Besnica ambulanta →"
594;405062;"Besnica kamnolom"
593;405061;"Besnica kamnolom →"
584;405022;"Besnica"/Lj.
583;405021;"Besnica"/Lj. →
586;405032;"Besnica"/Lj.Š.
585;405031;"Besnica"/Lj.Š. →
199;101032;"Bežigrad"
273;101041;"Bežigrad"
198;101031;"Bežigrad →"
531;403072;"Bilečanska"
532;403071;"Bilečanska →"
537;404121;"Bizovik"
538;404123;"Bizovik →"
588;405042;"Blaževo"
587;405041;"Blaževo →"
501;704041;"Bokalce →"
70;402042;"Bolnica"
69;402041;"Bolnica →"
195;802042;"Bolnica P. Držaja"
194;802041;"Bolnica P. Držaja →"
180;703102;"Bonifacija"
181;703101;"Bonifacija →"
693;103192;"Božičeva"
692;103191;"Božičeva →"
206;203182;"Bratislavska"
205;203181;"Bratislavska →"
458;803162;"Bratov Babnik"
457;803161;"Bratov Babnik →"
122;803132;"Bratov Učakar"
123;803131;"Bratov Učakar →"
353;101062;"Bratov Židan"
352;101061;"Bratov Židan →"
328;704022;"Brdo"
502;704024;"Brdo"
329;704021;"Brdo →"
556;614022;"Brglezov štradon"
557;614021;"Brglezov štradon →"
359;103022;"Brinje"
358;103021;"Brinje →"
429;204121;"Brnčičeva →"
216;804121;"Brod →"
258;303072;"Brodarjev trg"
257;303071;"Brodarjev trg →"
470;203142;"BTC"‐Emporium
471;203141;"BTC"‐Emporium →
472;203132;"BTC"‐Kolosej
473;203131;"BTC"‐Kolosej →
468;203122;"BTC"‐tržnica
469;203121;"BTC"‐tržnica →
466;203112;"BTC"‐uprava
467;203111;"BTC"‐uprava →
346;602012;"Cankarjev dom"
347;602011;"Cankarjev dom →"
560;614042;"Capuder"
561;614041;"Capuder →"
688;103171;"Center Stožice "‐ smer S. obvoznica →
689;103173;"Center Stožice"‐ smer Titova →
682;704162;"Cesta dveh cesarjev"
681;704161;"Cesta dveh cesarjev →"
433;104092;"Cesta na Brod"
432;104091;"Cesta na Brod →"
282;304092;"Cesta na Vevče"
