27K;Bavarski dvor - Kolosej;878
27K;Kolosej - Bavarski dvor;879
31;Dolgi most - Vnanje Gorice;880
31;Vnanje Gorice - Dolgi most;881
28;Ljubljana -> Mali Lipoglav;873
28;Mali Lipoglav -> Ljubljana;874
1;Mestni log-Vižmarje;565
1;Vižmarje-Mestni log;577
1;Mestni log-Vižmarje;578
1;Mestni log-Vižmarje;605
1;Vižmarje-Mestni log;606
1;Vižmarje-Mestni log;607
1;Vižmarje-Mestni log;647
1;Vižmarje-Mestni log;648
1;Vižmarje-Mestni log;708
1;Mestni log-Vižmarje;815
1;Vižmarje-Mestni log;817
1;Mestni log-Vižmarje;818
1;Mestni log-Vižmarje;819
1;Vižmarje-Mestni log;823
1;Mestni log-Vižmarje;822
1;Mestni log-Vižmarje;706
1;Mestni log-Vižmarje;707
1;Vižmarje-Mestni log;762
1;Mestni log-Vižmarje;760
1;Vižmarje-Mestni log;761
1;Vižmarje-Mestni log;816
1;Vižmarje-Mestni log;820
1;Mestni log-Vižmarje;835
1;Mestni log-Vižmarje;326
1;Vižmarje-Mestni log;863
2;Nove Jarše-Zelena jama;887
2;Zelena jama-Nove Jarše;327
2;Nove Jarše-Zelena jama;328
2;Nove Jarše-Zelena jama;826
2;Zelena jama-Nove Jarše;769
2;Nove Jarše-Zelena jama;717
2;Zelena jama-Nove Jarše;718
2;Zelena jama-Nove Jarše;736
2;Zelena jama-Nove Jarše;737
2;Zelena jama-Nove Jarše;738
2;Zelena jama-Nove Jarše;770
2;Zelena jama-Nove Jarše;771
2;Zelena jama-Nove Jarše;735
2;Zelena jama-Nove Jarše;821
2;Zelena jama-Nove Jarše;581
2;Nove Jarše-Zelena jama;593
2;Zelena jama-Nove Jarše;594
2;Nove Jarše-Zelena jama;883
2;Zelena jama-Nove Jarše;884
3;Litostroj-Rudnik;649
3;Rudnik-Litostroj;650
3;Litostroj-Rudnik;603
3;Rudnik-Litostroj;684
3;Rudnik-Litostroj;583
3;Litostroj-Rudnik;584
3;Litostroj-Rudnik;750
3;Litostroj-Rudnik;751
3;Rudnik-Litostroj;752
3;Rudnik-Litostroj;753
3;Litostroj-Rudnik;836
3;Rudnik-Litostroj;329
3;Litostroj-Rudnik;330
5;Podutik-Štepanjsko naselje;346
5;Štepanjsko naselje-Podutik;832
5;Štepanjsko naselje-Podutik;833
5;Štepanjsko naselje-Podutik;834
5;Štepanjsko naselje-Podutik;695
5;Podutik-Štepanjsko naselje;562
5;Podutik-Štepanjsko naselje;694
5;Štepanjsko naselje-Podutik;651
5;Štepanjsko naselje-Podutik;652
6;Dolgi most-Črnuče;794
6;Črnuče-Dolgi most;709
6;Dolgi most-Črnuče;710
6;Dolgi most-Črnuče;875
6;Črnuče-Dolgi most;754
6;Dolgi most-Črnuče;755
6;Črnuče-Dolgi most;780
6;Črnuče-Dolgi most;781
6;Črnuče-Dolgi most;784
6;Črnuče-Dolgi most;786
6;Dolgi most-Črnuče;787
6;Črnuče-Dolgi most;788
6;Dolgi most-Črnuče;793
6;Črnuče-Dolgi most;782
6;Črnuče-Dolgi most;783
6;Dolgi most-Črnuče;795
6;Dolgi most-Črnuče;796
6;Črnuče-Dolgi most;797
6;Črnuče-Dolgi most;331
6;Dolgi most-Črnuče;345
7;Nove Jarše-Pržan;370
7;Pržan-Nove Jarše;332
7;Nove Jarše-Pržan;333
7;Pržan-Nove Jarše;685
8;Gameljne - Brnčičeva;828
8;Brnčičeva - Gameljne;802
8;Gameljne - Brnčičeva;798
8;Brnčičeva - Gameljne;799
8;Brnčičeva - Gameljne;800
8;Gameljne - Brnčičeva;801
9;Trnovo-Štepanjsko naselje;756
9;Štepanjsko naselje-Trnovo;757
9;Štepanjsko naselje-Trnovo;772
9;Štepanjsko naselje-Trnovo;711
9;Trnovo-Štepanjsko naselje;336
9;Štepanjsko naselje-Trnovo;337
9;Štepanjsko naselje-Trnovo;628
9;Trnovo-Štepanjsko naselje;629
9;Trnovo-Štepanjsko naselje;712
11;Zalog-Bežigrad;865
11;Bežigrad-Zalog;866
11;Zalog-Ježica;620
11;Zalog-Ježica;604
11;Ježica-Zalog;595
11;Zalog-Ježica;582
11;Ježica-Zalog;597
11;Zalog-Ježica;598
11;Ježica-Zalog;599
11;Zalog-Ježica;600
11;Ježica-Zalog;566
11;Zalog-Ježica;814
11;Ježica-Zalog;810
11;Zalog-Bežigrad;792
11;Zalog-Ježica;811
11;Ježica-Zalog;812
11;Zalog-Ježica;813
11;Zalog-Bežigrad;827
11;Ježica-Zalog;721
11;Zalog-Ježica;722
11;Zalog-Ježica;763
11;Bežigrad-Zalog;791
11;Ježica-Zalog;747
11;Ježica-Zalog;748
11;Zalog-Ježica;749
11;Ježica-Zalog;361
11;Zalog-Ježica;362
12;Bežigrad-Vevče;363
12;Vevče-Bežigrad;364
12;Vevče-Bežigrad;862
12;Bežigrad-Vevče;861
13;Sostro-Bežigrad;768
13;Bežigrad-Sostro;829
13;Sostro-Bežigrad;830
13;Sostro-Bežigrad;725
13;Bežigrad-Sostro;724
13;Bežigrad-Sostro;766
13;Sostro-Bežigrad;767
13;Bežigrad-Sostro;831
13;Bežigrad-Sostro;824
13;Sostro-Bežigrad;825
14;Vrhovci-Savlje;626
14;Savlje-Vrhovci;627
14;Vrhovci-Savlje;775
14;Savlje-Vrhovci;758
14;Vrhovci-Savlje;759
14;Savlje-Vrhovci;742
14;Savlje-Vrhovci;743
14;Vrhovci-Savlje;744
14;Savlje-Vrhovci;741
14;Savlje-Vrhovci;773
14;Savlje-Vrhovci;774
14;Savlje-Vrhovci;340
14;Vrhovci-Savlje;366
18;Kino Šiška-Tovarna Lek;355
18;Tovarna Lek-Kino Šiška;356
19;Tomačevo-Barje;357
19;Barje-Tomačevo;358
19;Tomačevo-Barje;858
19;Tomačevo-Barje;855
19;Barje-Tomačevo;856
19;Tomačevo-Barje;857
19;Tomačevo-Barje;859
19;Tomačevo-Barje;860
19;Barje-Tomačevo;713
19;Tomačevo-Barje;714
19;Barje-Tomačevo;687
19;Tomačevo-Barje;688
20;Nove Stožice-Fužine;864
20;Nove Stožice-Fužine;624
20;Fužine-Nove Stožice;608
20;Fužine-Nove Stožice;596
20;Nove Stožice-Fužine;567
20;Fužine-Nove Stožice;882
20;Nove Stožice-Fužine;886
20;Fužine-Nove Stožice;745
20;Nove Stožice-Fužine;746
20;Nove Stožice-Fužine;359
20;Fužine-Nove Stožice;885
20;Fužine-Nove Stožice;367
21;Ježica - Beričevo;804
21;Beričevo - Ježica;803
21;Beričevo - Ježica;807
22;Kamna Gorica-Fužine;341
22;Fužine-Kamna Gorica;342
23;Kolodvor-ZOO;689
23;ZOO-Kolodvor;690
24;Kodeljevo-Bizovik;846
24;Bizovik-Kodeljevo;789
24;Kodeljevo-Bizovik;790
25;Medvode-Zadobrova;726
25;Zadobrova-Medvode;727
27;NS Rudnik-BTC-Letališka;731
27;BTC-Letališka-NS Rudnik;776
27;Kolosej - Bavarski dvor;765
27;BTC-Letališka-NS Rudnik;730
27;Bavarski dvor - Kolosej;853
27;Kolosej - Bavarski dvor;854
27;BTC-Letališka-NS Rudnik;837
27;NS Rudnik-BTC-Letališka;838
27;NS Rudnik-BTC-Letališka;777
27;Bavarski dvor - Kolosej;764
2a;Kavčičeva-Moste-Žale-Kavčičeva;617
2b;Kavčičeva-Žale-Moste-Kavčičeva;591
40;Iz Ljubljane;840
40;Iz Ljubljane;839
40;Iz Ljubljane;841
40;Iz Ljubljane;372
40;V Ljubljano;429
40;Iz Ljubljane;430
40;V Ljubljano;431
40;Iz Ljubljane;432
40;V Ljubljano;433
40;Iz Ljubljane;434
